date,dkk_eur
08/11/2017,0.13432
09/11/2017,0.13437
10/11/2017,0.13437
11/11/2017,0.13402
13/11/2017,0.13441
14/11/2017,0.13438
15/11/2017,0.13434
16/11/2017,0.13439
17/11/2017,0.13438
20/11/2017,0.13437
21/11/2017,0.13436
23/11/2017,0.13435
27/11/2017,0.13437
28/11/2017,0.13434
29/11/2017,0.13434
30/11/2017,0.13436
01/12/2017,0.13437
04/12/2017,0.13436
05/12/2017,0.13437
06/12/2017,0.13438
08/12/2017,0.13437
11/12/2017,0.13436
12/12/2017,0.13436
14/12/2017,0.13431
15/12/2017,0.13433
18/12/2017,0.13435
19/12/2017,0.13434
21/12/2017,0.13432
27/12/2017,0.1343
29/12/2017,0.1343
02/01/2018,0.13433
03/01/2018,0.13431
06/01/2018,#N/A
08/01/2018,0.13428
09/01/2018,0.13427
12/01/2018,0.13424
15/01/2018,0.13424
17/01/2018,0.1343
18/01/2018,0.13429
19/01/2018,0.13434
22/01/2018,0.13433
26/01/2018,0.13434
29/01/2018,0.13435
30/01/2018,0.13435
31/01/2018,0.13436
01/02/2018,0.13433
02/02/2018,0.13434
04/02/2018,0.13435
05/02/2018,0.13432
06/02/2018,0.13435
07/02/2018,0.13435
08/02/2018,0.13434
12/02/2018,0.13426
13/02/2018,0.1342
19/02/2018,0.13426
20/02/2018,0.13427
21/02/2018,0.13427
22/02/2018,0.13428
26/02/2018,0.1343
27/02/2018,0.13429
28/02/2018,0.13428
01/03/2018,0.13425
05/03/2018,0.13424
07/03/2018,0.13419
09/03/2018,0.13423
12/03/2018,0.13425
13/03/2018,0.13425
14/03/2018,0.13423
16/03/2018,0.13422
19/03/2018,0.13424
20/03/2018,0.13424
22/03/2018,0.13424
23/03/2018,0.13422
26/03/2018,0.13433
27/03/2018,0.13421
28/03/2018,0.13417
30/03/2018,0.13414
03/04/2018,0.1342
04/04/2018,0.13421
05/04/2018,0.13426
06/04/2018,0.13428
09/04/2018,0.13427
10/04/2018,0.13428
11/04/2018,0.13429
12/04/2018,0.13427
13/04/2018,0.13426
16/04/2018,0.13426
18/04/2018,0.13425
19/04/2018,0.13425
20/04/2018,0.13427
23/04/2018,0.13425
24/04/2018,0.13427
25/04/2018,0.13421
27/04/2018,0.13421
28/04/2018,#N/A
30/04/2018,0.13422
03/05/2018,0.13422
04/05/2018,0.13423
06/05/2018,0.13422
07/05/2018,0.13424
08/05/2018,0.13424
09/05/2018,0.13421
14/05/2018,0.13423
16/05/2018,0.13426
17/05/2018,0.13426
18/05/2018,0.13424
19/05/2018,0.13424
22/05/2018,0.13424
23/05/2018,0.13423
25/05/2018,0.13421
28/05/2018,0.13426
29/05/2018,0.13437
30/05/2018,0.13436
31/05/2018,0.13435
02/06/2018,0.13433
03/06/2018,0.13433
04/06/2018,0.13434
05/06/2018,0.13435
06/06/2018,0.13429
07/06/2018,0.13425
08/06/2018,0.13421
09/06/2018,0.13423
11/06/2018,0.13423
12/06/2018,0.1342
14/06/2018,0.1342
15/06/2018,0.13421
18/06/2018,0.13418
19/06/2018,0.13415
20/06/2018,0.13418
21/06/2018,0.13417
25/06/2018,0.13418
29/06/2018,0.1342
30/06/2018,0.1342
01/07/2018,0.13419
02/07/2018,0.1342
03/07/2018,0.13419
05/07/2018,0.13417
08/07/2018,0.13416
09/07/2018,0.13415
10/07/2018,0.13416
11/07/2018,0.13415
12/07/2018,0.13412
13/07/2018,0.13413
15/07/2018,0.13415
16/07/2018,0.13416
18/07/2018,0.13416
20/07/2018,0.13419
23/07/2018,0.13421
24/07/2018,0.1342
25/07/2018,0.1342
27/07/2018,0.13421
28/07/2018,#N/A
30/07/2018,0.13424
31/07/2018,0.1342
02/08/2018,0.13417
03/08/2018,0.13413
06/08/2018,0.13418
07/08/2018,0.13416
08/08/2018,0.13413
09/08/2018,0.13412
13/08/2018,0.13415
20/08/2018,0.13407
21/08/2018,0.13406
22/08/2018,0.13406
23/08/2018,0.13404
24/08/2018,0.13404
25/08/2018,#N/A
27/08/2018,0.13407
28/08/2018,0.1341
29/08/2018,0.13408
31/08/2018,0.13414
03/09/2018,0.13414
04/09/2018,0.13414
05/09/2018,0.13412
06/09/2018,0.1341
07/09/2018,0.13407
10/09/2018,0.13407
12/09/2018,0.13405
14/09/2018,0.13402
17/09/2018,0.13403
18/09/2018,0.13403
20/09/2018,0.13408
21/09/2018,0.13405
24/09/2018,0.13406
25/09/2018,0.13405
26/09/2018,0.13407
27/09/2018,0.1341
28/09/2018,0.13408
01/10/2018,0.1341
02/10/2018,0.13411
03/10/2018,0.1341
08/10/2018,0.13403
09/10/2018,0.13404
10/10/2018,0.13404
11/10/2018,0.13402
12/10/2018,0.13401
15/10/2018,0.13402
16/10/2018,0.13402
18/10/2018,0.13404
19/10/2018,0.134
22/10/2018,0.13402
23/10/2018,0.13402
25/10/2018,0.13401
26/10/2018,0.134
29/10/2018,0.134
30/10/2018,0.13401
31/10/2018,0.13404
01/11/2018,0.13403
02/11/2018,0.13403
03/11/2018,#N/A
05/11/2018,0.13405
06/11/2018,0.13405
07/11/2018,0.13404
08/11/2018,0.13406
12/11/2018,0.13406
13/11/2018,0.13402
15/11/2018,0.134
16/11/2018,0.13406
19/11/2018,0.13399
21/11/2018,0.13401
22/11/2018,0.134
23/11/2018,0.13401
26/11/2018,0.13401
27/11/2018,0.13401
28/11/2018,0.13399
29/11/2018,0.13401
30/11/2018,0.13399
03/12/2018,0.13399
04/12/2018,0.13398
05/12/2018,0.13398
07/12/2018,0.13395
08/12/2018,#N/A
10/12/2018,0.13396
11/12/2018,0.13396
12/12/2018,0.13398
13/12/2018,0.13396
14/12/2018,0.13394
15/12/2018,#N/A
16/12/2018,0.13394
17/12/2018,0.13391
18/12/2018,0.1339
19/12/2018,0.13393
20/12/2018,0.13392
21/12/2018,0.1339
24/12/2018,0.13393
27/12/2018,0.13393
28/12/2018,0.13392
31/12/2018,0.13392
02/01/2019,0.13391
04/01/2019,0.13392
07/01/2019,0.1339
08/01/2019,0.13391
10/01/2019,0.13395
11/01/2019,0.13396
14/01/2019,0.13397
15/01/2019,0.13396
17/01/2019,0.13395
18/01/2019,0.13396
19/01/2019,#N/A
21/01/2019,0.13393
22/01/2019,0.13392
23/01/2019,0.13392
24/01/2019,0.13394
25/01/2019,0.13392
28/01/2019,0.13394
29/01/2019,0.13395
30/01/2019,0.13395
31/01/2019,0.13394
01/02/2019,0.13394
